enzyme_id	enzyme	analytical_tag_bp	serial_unit_x_bp	expected_center_bp	pear_broad_min_bp	pear_broad_max_bp	window_starts_1based	window_lengths_bp	T1_window_0based_inclusive	T2_window_0based_inclusive	T3_window_0based_inclusive	T4_window_0based_inclusive	T5_window_0based_inclusive	range_status	window_status
1	CspCI	33	38	202	187	217	1 38 76 114 152	56 56 56 56 65	0-55	37-92	75-130	113-168	151-215	derived	training_logic_derived
2	AloI	27	39	207	192	222	1 39 78 117 156	50 50 50 50 66	0-49	38-87	77-126	116-165	155-220	derived	training_logic_derived
3	BsaXI	27	33	177	162	192	1 33 66 99 132	50 50 50 50 60	0-49	32-81	65-114	98-147	131-190	training_explicit	training_explicit
4	BaeI	28	38	202	187	217	1 38 76 114 152	51 51 51 51 65	0-50	37-87	75-125	113-163	151-215	derived	training_logic_derived
5	BcgI	32	36	192	177	207	1 36 72 108 144	55 55 55 55 63	0-54	35-89	71-125	107-161	143-205	derived	training_logic_derived
6	CjeI	28	40	212	197	227	1 40 80 120 160	51 51 51 51 67	0-50	39-89	79-129	119-169	159-225	derived	training_logic_derived
7	PpiI	27	37	197	182	212	1 37 74 111 148	50 50 50 50 64	0-49	36-85	73-122	110-159	147-210	derived	training_logic_derived
8	PsrI	27	37	197	182	212	1 37 74 111 148	50 50 50 50 64	0-49	36-85	73-122	110-159	147-210	derived	training_logic_derived
9	BplI	27	37	197	182	212	1 37 74 111 148	50 50 50 50 64	0-49	36-85	73-122	110-159	147-210	derived	training_logic_derived
10	FalI	27	37	197	182	212	1 37 74 111 148	50 50 50 50 64	0-49	36-85	73-122	110-159	147-210	derived	training_logic_derived
11	Bsp24I	27	37	197	182	212	1 37 74 111 148	50 50 50 50 64	0-49	36-85	73-122	110-159	147-210	derived	training_logic_derived
12	HaeIV	27	38	202	187	217	1 38 76 114 152	50 50 50 50 65	0-49	37-86	75-124	113-162	151-215	derived	training_logic_derived
13	CjePI	27	39	207	192	222	1 39 78 117 156	50 50 50 50 66	0-49	38-87	77-126	116-165	155-220	derived	training_logic_derived
14	Hin4I	27	37	197	182	212	1 37 74 111 148	50 50 50 50 64	0-49	36-85	73-122	110-159	147-210	derived	training_logic_derived
15	AlfI	32	36	192	177	207	1 36 72 108 144	55 55 55 55 63	0-54	35-89	71-125	107-161	143-205	derived	training_logic_derived
16	BslFI	25	34	182	167	197	1 34 68 102 136	48 48 48 48 61	0-47	33-80	67-114	101-148	135-195	derived	training_logic_derived
